Dataset,Model,Top-k,Best Val Accuracy,Test Accuracy,F1 Score,Best Epoch
Cooking200,HGNN,No,0.4650,0.3961,0.3371,147
Cooking200,HGNN,Yes,0.4550,0.4538,0.3780,169
Cooking200,HGNNP,No,0.4450,0.4755,0.3693,199
Cooking200,HGNNP,Yes,0.4700,0.4705,0.3788,168
Cooking200,UniGCN,No,0.4850,0.4271,0.3459,105
Cooking200,UniGCN,Yes,0.4800,0.4471,0.3559,192
CocitationCiteseer,HGNN,No,0.3091,0.3091,0.2404,159
CocitationCiteseer,HGNN,Yes,0.2754,0.2754,0.1885,119
CocitationCiteseer,HGNNP,No,0.3182,0.3182,0.2497,153
CocitationCiteseer,HGNNP,Yes,0.2769,0.2769,0.1992,172
CocitationCiteseer,UniGCN,No,0.3043,0.3043,0.2236,172
CocitationCiteseer,UniGCN,Yes,0.2757,0.2757,0.1856,167
HouseCommittees,HGNN,No,0.6240,0.5620,0.5167,154
HouseCommittees,HGNN,Yes,0.6512,0.5310,0.5200,177
HouseCommittees,HGNNP,No,0.5853,0.5271,0.4582,99
HouseCommittees,HGNNP,Yes,0.5814,0.5078,0.4623,70
HouseCommittees,UniGCN,No,0.5814,0.5736,0.5631,151
HouseCommittees,UniGCN,Yes,0.5775,0.5620,0.5087,184
